Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Mguttatus	Oeuropea	Slycopersicum
OG0013305	13305	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	2	3
OG0013860	13860	3	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1
OG0024999	24999	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OG0028318	28318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OG0003441	3441	2	2	2	2	2	3	3	3	2	3	1	2	2	2	2	2	2	3	2	1	2	2	2	3	3	2	2	2	1	4	1
OG0005927	5927	3	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	3	2	3	2	2	1
OG0008247	8247	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	2	2	2	0	1	2	2	2	0	3	2	1	2	2	3	3
OG0013465	13465	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0
OG0014844	14844	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
OG0006501	6501	5	0	3	1	2	3	3	1	3	3	1	1	2	0	0	3	1	1	2	1	2	2	0	1	2	3	1	2	3	2	1
OG0004404	4404	1	3	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1
OG0022242	22242	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0008641	8641	2	1	2	1	2	2	2	1	2	2	2	2	1	1	2	1	0	1	1	1	1	2	2	2	1	2	2	1	2	2	3
OG0014866	14866	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
OG0028107	28107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OG0020322	20322	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0
OG0019598	19598	0	0	2	1	2	0	0	0	1	1	0	1	2	0	0	2	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0
OG0024019	24019	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OG0007993	7993	1	1	1	3	2	1	2	1	2	3	2	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	2	3	2	3	1
OG0021515	21515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	5
OG0007009	7009	2	2	2	1	2	2	2	0	2	2	2	2	2	1	1	2	1	2	1	1	2	2	1	2	2	2	2	2	2	3	1
OG0024463	24463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0017271	17271	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	2	2	1
OG0015553	15553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0002850	2850	2	2	4	2	4	2	2	2	4	2	2	4	4	2	2	1	2	3	2	2	3	2	2	2	2	2	2	2	1	3	1
OG0015143	15143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0013725	13725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0025342	25342	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004235	4235	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	2	1	2	2
OG0004145	4145	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	2	2	3	2	2	4	2	2	2	2	1	1	1
OG0003642	3642	2	3	2	2	3	3	2	2	3	3	2	1	2	2	2	3	1	2	3	2	3	3	2	1	2	3	2	2	0	1	1
OG0018193	18193	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	2	2	2	0	0	0	1	0	0	1	2	0	2	0
OG0003918	3918	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	1
OG0027191	27191	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OG0018354	18354	1	2	1	0	1	1	0	0	0	1	3	1	0	1	1	0	0	0	0	1	1	1	2	2	0	0	0	0	0	0	0
OG0025440	25440	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OG0026064	26064	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OG0027971	27971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OG0000308	308	5	5	5	6	5	5	5	4	5	5	4	5	5	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	4	6	3
OG0017324	17324	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
OG0012190	12190	2	1	2	1	4	1	1	2	1	0	1	1	1	1	0	1	1	4	1	1	1	1	1	1	0	1	0	0	0	0	1
OG0019750	19750	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0
OG0012610	12610	2	1	0	1	1	1	1	1	1	1	2	1	0	3	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2	2
OG0023720	23720	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OG0027488	27488	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0017496	17496	0	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	0	0	0
OG0006878	6878	2	2	2	2	2	2	2	1	3	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	0	1	1
OG0009246	9246	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
OG0022864	22864	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0014840	14840	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0025267	25267	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0025063	25063	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0008254	8254	1	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	0	2	1	2	1
OG0003394	3394	3	4	1	2	1	2	2	4	1	2	2	1	1	4	3	2	3	1	2	2	1	3	4	3	3	1	3	3	1	2	1
OG0010137	10137	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	0	1	2	1	2	2	2	1	1	0	2	2	0	1	0
OG0002060	2060	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	2	2	2	3	2	3	2
OG0020967	20967	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OG0022040	22040	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OG0002096	2096	2	3	4	3	2	3	3	3	3	3	2	3	3	1	3	3	2	3	3	3	3	3	3	3	2	2	2	3	2	5	2
OG0016094	16094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	2	0	1	0	1	1	0	1	0
OG0004375	4375	2	2	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	3	3	2	2	2	1	2	1
OG0025425	25425	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0017212	17212	2	1	1	2	1	3	1	1	1	0	0	1	1	1	2	0	0	0	4	0	0	1	1	2	0	0	0	0	0	0	0
OG0010168	10168	3	1	1	2	1	3	3	1	3	2	1	1	1	0	1	3	1	1	2	1	2	1	1	2	0	2	0	1	2	2	1
OG0015469	15469	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0026954	26954	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0014198	14198	2	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	2	1	1	2	1
OG0008938	8938	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	1	1	1	2	2	2	1	2	2	2	1	2	1	1	1	1
OG0027314	27314	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0018822	18822	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	0
OG0016858	16858	1	1	1	0	2	2	1	2	2	0	1	0	1	0	0	3	1	1	0	1	0	0	0	0	2	0	1	1	0	3	0
OG0013785	13785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0005723	5723	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	0	1	0
OG0008131	8131	1	3	2	1	2	1	1	1	2	1	2	3	1	3	3	1	1	3	1	2	1	2	4	1	1	1	1	1	0	2	0
OG0019164	19164	1	1	0	0	1	1	1	1	0	0	1	0	0	3	2	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0
OG0004678	4678	2	2	2	2	1	2	2	2	2	1	3	2	1	2	2	1	1	2	1	2	2	2	2	2	2	3	2	2	1	4	2
OG0003143	3143	3	2	2	2	2	3	2	1	2	2	3	2	3	2	2	3	1	4	1	2	2	3	1	2	1	2	1	2	4	2	4
OG0002013	2013	3	4	3	3	3	3	3	4	4	4	1	2	3	2	3	4	3	4	2	2	3	3	2	2	3	2	3	3	1	4	2
OG0010145	10145	1	1	0	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	3	2	1	1	1
OG0027965	27965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OG0011494	11494	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
OG0017055	17055	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0010831	10831	1	2	2	1	1	1	1	0	1	1	1	1	1	3	2	2	1	0	3	1	1	1	2	1	1	1	2	1	1	2	1
OG0025292	25292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OG0007900	7900	2	1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	2	0	3	0
OG0025466	25466	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OG0015575	15575	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	0	1	1	2	0
OG0016984	16984	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	2	2
OG0004546	4546	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	3	3	2	2	2	1	1	1	1
OG0014357	14357	1	1	1	2	1	1	1	1	1	1	0	1	0	0	0	2	0	1	1	1	1	2	1	1	1	2	1	2	1	1	1
OG0016708	16708	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
OG0016425	16425	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	2	1	2	0	0	2	0
OG0017710	17710	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1
OG0007014	7014	2	2	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	0
OG0025761	25761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
OG0016956	16956	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0005185	5185	1	1	2	3	2	1	3	3	2	3	3	2	2	1	1	2	2	1	1	1	2	2	2	4	1	2	3	2	1	3	1
OG0019749	19749	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0
OG0016060	16060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0000897	897	5	4	5	4	4	4	4	4	4	5	3	3	5	3	2	3	2	4	4	3	4	4	4	4	4	4	4	3	1	5	3
OG0022850	22850	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0012456	12456	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1
OG0003106	3106	2	2	3	2	3	2	3	1	3	3	2	2	2	2	1	3	1	2	1	2	2	2	4	1	3	3	2	2	2	5	3
OG0014641	14641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
OG0028163	28163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OG0006400	6400	3	1	3	2	4	1	0	2	0	0	3	0	1	1	2	2	2	2	1	1	2	1	2	1	1	1	3	4	2	9	0
OG0018088	18088	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	2	1	0	1	1	1
OG0002858	2858	3	3	2	3	3	2	3	2	3	3	3	3	2	3	1	3	1	3	2	2	3	2	2	2	2	3	1	3	1	4	2
OG0012573	12573	2	0	0	0	0	1	1	1	1	1	2	0	2	1	1	0	1	2	2	1	0	0	2	2	4	0	3	1	0	0	0
OG0020626	20626	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4
OG0020663	20663	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	1	0	1	0	0	0
OG0012667	12667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
OG0004956	4956	2	2	2	2	2	3	2	2	1	2	1	2	2	3	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	3	1
OG0003075	3075	3	3	2	2	2	3	3	0	3	3	1	2	2	3	1	3	1	2	3	3	3	3	2	4	2	2	1	3	1	3	1
OG0001993	1993	3	3	2	3	3	3	3	2	3	3	2	2	3	3	2	3	3	3	3	2	3	3	3	4	3	3	3	3	2	5	1
OG0009609	9609	2	3	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	3	1	1	1	1	3	2	0	1	2	2	1	2	1
OG0006865	6865	2	1	1	2	2	2	2	2	2	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1
OG0008698	8698	1	1	2	5	1	3	2	0	1	6	0	1	2	2	1	3	2	6	2	0	1	4	0	0	1	0	0	3	0	0	0
OG0025463	25463	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG0011199	11199	2	2	1	1	1	2	1	0	1	1	0	2	1	1	1	1	1	2	2	1	2	1	1	0	0	1	2	1	1	3	2
OG0001320	1320	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	4	3	3	3	4	3	1	5	1
OG0017571	17571	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
